FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
180630;0000;17;;;
180701;0000;17;;;
180702;0000;8;;;
180703;0000;12;;;
180704;0000;19;;;
180705;0000;16;;;
180706;0000;14;;;
180707;0000;13;;;
180708;0000;13;;;
180709;0000;13;;;
180710;0000;14;;;
180711;0000;13;;;
180712;0000;13;;;
180713;0000;15;;;
180714;0000;21;;;
180715;0000;21;;;
180716;0000;20;;;
180717;0000;;;;
180718;0000;8;;;
180719;0000;10;;;
180720;0000;15;;;
180721;0000;19;;;
180722;0000;14;;;
180723;0000;17;;;
180724;0000;15;;;
180725;0000;13;;;
180726;0000;18;;;
180727;0000;13;;;
180728;0000;13;;;
180729;0000;14;;;
180730;0000;15;;;
180731;0000;;;;
180801;0000;;;;
180802;0000;9;;;
180803;0000;;;;
180804;0000;16;;;
180805;0000;19;;;
180806;0000;15;;;
180807;0000;11;;;
180808;0000;19;;;
180809;0000;19;;;
180810;0000;16;;;
180811;0000;16;;;
180812;0000;10;;;
180813;0000;7;;;
180814;0000;13;;;
180815;0000;17;;;
180816;0000;15;;;
180817;0000;16;;;
180818;0000;;;;
180819;0000;;;;
180820;0000;;;;
180821;0000;11;;;
180822;0000;10;;;
180823;0000;8;;;
180824;0000;;;9;
180825;0000;;;2;
180826;0000;;;3;
180827;0000;;;4;
180828;0000;11;;;
180829;0000;9;;;
180830;0000;9;;;
180831;0000;8;;;
180901;0000;9;;;
180902;0000;9;;;
180903;0000;13;;;
180904;0000;10;;;
180905;0000;10;;;
180906;0000;12;;;
180907;0000;14;;;
180908;0000;11;;;
180909;0000;9;;;
180910;0000;11;;;
180911;0000;10;;;
180912;0000;10;;;
180913;0000;8;;;
180914;0000;10;;;
180915;0000;12;;;
180916;0000;10;;;
180917;0000;10;;;
180918;0000;9;;;
180919;0000;8;;;
180920;0000;12;;;
180921;0000;11;;;
180922;0000;9;;;
180923;0000;7;;;
180924;0000;8;;;
180925;0000;13;;;
180926;0000;15;;;
180927;0000;;;;
180928;0000;;;;
180929;0000;;;;
180930;0000;;;;
181001;0000;;;;
181002;0000;8;;;
181003;0000;9;;;
181004;0000;11;;;
181005;0000;9;;;
181006;0000;8;;;
181007;0000;8;;;
181008;0000;10;;;
181009;0000;9;;;
181010;0000;11;;;
181011;0000;9;;;
181012;0000;5;;;
181013;0000;5;;;
181014;0000;6;;;
181015;0000;6;;;
181016;0000;9;;;
181017;0000;6;;;
181018;0000;6;;;
181019;0000;5;;;
181020;0000;7;;;
181021;0000;5;;;
181022;0000;8;;;
181023;0000;8;;;
181024;0000;7;;;
181025;0000;7;;;
181026;0000;7;;;
181027;0000;5;;;
181028;0000;7;;;
181029;0000;7;;;
181030;0000;7;;;
181031;0000;5;;;
181101;0000;3;;;
181102;0000;5;;;
181103;0000;6;;;
181104;0000;6;;;
181105;0000;6;;;
181106;0000;;;;
181107;0000;;;;
181108;0000;8;;;
181109;0000;7;;;
181110;0000;9;;;
181111;0000;6;;;
181112;0000;6;;;
181113;0000;7;;;
181114;0000;9;;;
181115;0000;10;;;
181116;0000;9;;;
181117;0000;7;;;
181118;0000;6;;;
181119;0000;6;;;
181120;0000;7;;;
181121;0000;8;;;
181122;0000;7;;;
181123;0000;7;;;
181124;0000;6;;;
181125;0000;5;;;
181126;0000;8;;;
181127;0000;10;;;
181128;0000;8;;;
181129;0000;7;;;
181130;0000;7;;;
181201;0000;7;;;
181202;0000;6;;;
181203;0000;5;;;
181204;0000;4;;;
181205;0000;4;;;
181206;0000;4;;;
181207;0000;6;;;
181208;0000;7;;;
181209;0000;8;;;
181210;0000;8;;;
181211;0000;8;;;
181212;0000;9;;;
181213;0000;9;;;
181214;0000;9;;;
181215;0000;8;;;
181216;0000;9;;;
181217;0000;11;;;
181218;0000;9;;;
181219;0000;9;;;
181220;0000;7;;;
181221;0000;8;;;
181222;0000;9;;;
181223;0000;7;;;
181224;0000;6;;;
181225;0000;7;;;
181226;0000;6;;;
181227;0000;6;;;
181228;0000;5;;;
181229;0000;6;;;
181230;0000;7;;;
181231;0000;8;;;
190101;0000;10;;;
190102;0000;9;;;
190103;0000;9;;;
190104;0000;8;;;
190105;0000;9;;;
190106;0000;5;;;
190107;0000;7;;;
190108;0000;5;;;
190109;0000;6;;;
190110;0000;4;;;
190111;0000;4;;;
190112;0000;5;;;
190113;0000;4;;;
190114;0000;4;;;
190115;0000;5;;;
190116;0000;6;;;
190117;0000;6;;;
190118;0000;7;;;
190119;0000;7;;;
190120;0000;6;;;
190121;0000;7;;;
190122;0000;6;;;
190123;0000;5;;;
190124;0000;6;;;
190125;0000;6;;;
190126;0000;5;;;
190127;0000;5;;;
190128;0000;6;;;
190129;0000;7;;;
190130;0000;6;;;
190131;0000;6;;;
190201;0000;5;;;
190202;0000;5;;;
190203;0000;4;;;
190204;0000;4;;;
190205;0000;4;;;
190206;0000;6;;;
190207;0000;7;;;
190208;0000;8;;;
190209;0000;6;;;
190210;0000;5;;;
190211;0000;6;;;
190212;0000;6;;;
190213;0000;8;;;
190214;0000;6;;;
190215;0000;9;;;
190216;0000;7;;;
190217;0000;7;;;
190218;0000;7;;;
190219;0000;7;;;
190220;0000;6;;;
190221;0000;5;;;
190222;0000;6;;;
190223;0000;4;;;
190224;0000;5;;;
190225;0000;5;;;
190226;0000;4;;;
190227;0000;4;;;
190228;0000;6;;;
190301;0000;6;;;
190302;0000;7;;;
190303;0000;4;;;
190304;0000;5;;;
190305;0000;7;;;
190306;0000;8;;;
190307;0000;9;;;
190308;0000;9;;;
190309;0000;7;;;
190310;0000;7;;;
190311;0000;8;;;
190312;0000;8;;;
190313;0000;10;;;
190314;0000;8;;;
190315;0000;9;;;
190316;0000;9;;;
190317;0000;8;;;
190318;0000;8;;;
190319;0000;9;;;
190320;0000;10;;;
190321;0000;13;;;
190322;0000;;;12;
190323;0000;;;2;
190324;0000;;;2;
190325;0000;;;3;
190326;0000;14;;;
190327;0000;11;;;
190328;0000;12;;;
190329;0000;9;;;
190330;0000;8;;;
190331;0000;6;;;
190401;0000;6;;;
190402;0000;7;;;
190403;0000;10;;;
190404;0000;8;;;
190405;0000;10;;;
190406;0000;12;;;
190407;0000;10;;;
190408;0000;9;;;
190409;0000;9;;;
190410;0000;10;;;
190411;0000;10;;;
190412;0000;12;;;
190413;0000;13;;;
190414;0000;11;;;
190415;0000;13;;;
190416;0000;19;;;
190417;0000;18;;;
190418;0000;17;;;
190419;0000;13;;;
190420;0000;9;;;
190421;0000;9;;;
190422;0000;9;;;
190423;0000;8;;;
190424;0000;7;;;
190425;0000;9;;;
190426;0000;10;;;
190427;0000;10;;;
190428;0000;8;;;
190429;0000;10;;;
190430;0000;10;;;
190501;0000;13;;;
190502;0000;13;;;
190503;0000;15;;;
190504;0000;17;;;
190505;0000;11;;;
190506;0000;15;;;
190507;0000;10;;;
190508;0000;12;;;
190509;0000;10;;;
190510;0000;11;;;
190511;0000;13;;;
190512;0000;13;;;
190513;0000;21;;;
190514;0000;16;;;
190515;0000;15;;;
190516;0000;14;;;
190517;0000;12;;;
190518;0000;10;;;
190519;0000;15;;;
190520;0000;15;;;
190521;0000;14;;;
190522;0000;17;;;
190523;0000;17;;;
190524;0000;20;;;
190525;0000;15;;;
190526;0000;13;;;
190527;0000;18;;;
190528;0000;18;;;
190529;0000;17;;;
190530;0000;21;;;
190531;0000;14;;;
190601;0000;10;;;
190602;0000;12;;;
190603;0000;17;;;
190604;0000;22;;;
190605;0000;20;;;
190606;0000;18;;;
190607;0000;19;;;
190608;0000;22;;;
190609;0000;20;;;
190610;0000;20;;;
190611;0000;16;;;
190612;0000;16;;;
190613;0000;12;;;
190614;0000;12;;;
190615;0000;10;;;
190616;0000;11;;;
190617;0000;13;;;
190618;0000;15;;;
190619;0000;18;;;
190620;0000;14;;;
190621;0000;18;;;
190622;0000;15;;;
190623;0000;21;;;
190624;0000;27;;;
190625;0000;20;;;
190626;0000;15;;;
190627;0000;22;;;
190628;0000;25;;;
190629;0000;17;;;
190630;0000;8;;;
190701;0000;16;;;
190702;0000;14;;;
190703;0000;16;;;
190704;0000;21;;;
190705;0000;;;25;
190706;0000;;;21;
190707;0000;16;;;
190708;0000;16;;;
190709;0000;10;;;
190710;0000;11;;;
190711;0000;19;;;
190712;0000;22;;;
190713;0000;19;;;
190714;0000;19;;;
190715;0000;17;;;
190716;0000;24;;;
190717;0000;19;;;
190718;0000;17;;;
190719;0000;19;;;
190720;0000;23;;;
190721;0000;22;;;
190722;0000;17;;;
190723;0000;9;;;
190724;0000;9;;;
190725;0000;10;;;
190726;0000;14;;;
190727;0000;20;;;
190728;0000;20;;;
190729;0000;20;;;
190730;0000;24;;;
190731;0000;18;;;
190801;0000;16;;;
190802;0000;19;;;
190803;0000;21;;;
190804;0000;20;;;
190805;0000;18;;;
190806;0000;20;;;
190807;0000;16;;;
190808;0000;13;;;
190809;0000;14;;;
190810;0000;17;;;
190811;0000;16;;;
190812;0000;22;;;
190813;0000;25;;;
190814;0000;18;;;
190815;0000;19;;;
190816;0000;18;;;
190817;0000;14;;;
190818;0000;14;;;
190819;0000;14;;;
190820;0000;18;;;
190821;0000;20;;;
190822;0000;23;;;
190823;0000;20;;;
190824;0000;23;;;
190825;0000;18;;;
190826;0000;16;;;
190827;0000;22;;;
190828;0000;17;;;
190829;0000;13;;;
190830;0000;13;;;
190831;0000;13;;;
190901;0000;14;;;
190902;0000;15;;;
190903;0000;15;;;
190904;0000;19;;;
190905;0000;15;;;
190906;0000;14;;;
190907;0000;10;;;
190908;0000;7;;;
190909;0000;10;;;
190910;0000;8;;;
190911;0000;9;;;
190912;0000;9;;;
190913;0000;9;;;
190914;0000;10;;;
190915;0000;9;;;
190916;0000;10;;;
190917;0000;11;;;
190918;0000;10;;;
190919;0000;9;;;
190920;0000;9;;;
190921;0000;14;;;
190922;0000;13;;;
190923;0000;13;;;
190924;0000;12;;;
190925;0000;9;;;
190926;0000;12;;;
190927;0000;11;;;
190928;0000;9;;;
190929;0000;9;;;
190930;0000;9;;;
191001;0000;8;;;
191002;0000;9;;;
191003;0000;10;;;
191004;0000;13;;;
191005;0000;11;;;
191006;0000;13;;;
191007;0000;18;;;
191008;0000;20;;;
191009;0000;18;;;
191010;0000;13;;;
191011;0000;13;;;
191012;0000;11;;;
191013;0000;10;;;
191014;0000;9;;;
191015;0000;9;;;
191016;0000;8;;;
191017;0000;11;;;
191018;0000;9;;;
191019;0000;10;;;
191020;0000;16;;;
191021;0000;13;;;
191022;0000;12;;;
191023;0000;14;;;
191024;0000;14;;;
191025;0000;11;;;
191026;0000;11;;;
191027;0000;8;;;
191028;0000;14;;;
191029;0000;11;;;
191030;0000;10;;;
191031;0000;10;;;
191101;0000;10;;;
191102;0000;10;;;
191103;0000;10;;;
191104;0000;9;;;
191105;0000;9;;;
191106;0000;8;;;
191107;0000;8;;;
191108;0000;7;;;
191109;0000;6;;;
191110;0000;8;;;
191111;0000;11;;;
191112;0000;10;;;
191113;0000;11;;;
191114;0000;8;;;
191115;0000;7;;;
191116;0000;8;;;
191117;0000;8;;;
191118;0000;10;;;
191119;0000;14;;;
191120;0000;11;;;
191121;0000;14;;;
191122;0000;16;;;
191123;0000;10;;;
191124;0000;7;;;
191125;0000;10;;;
191126;0000;14;;;
191127;0000;19;;;
191128;0000;15;;;
191129;0000;15;;;
191130;0000;14;;;
191201;0000;16;;;
191202;0000;13;;;
191203;0000;13;;;
191204;0000;14;;;
191205;0000;12;;;
191206;0000;12;;;
191207;0000;12;;;
191208;0000;;;9;
191209;0000;9;;;
191210;0000;10;;;
191211;0000;8;;;
191212;0000;8;;;
191213;0000;9;;;
191214;0000;11;;;
191215;0000;10;;;
191216;0000;12;;;
191217;0000;13;;;
191218;0000;12;;;
191219;0000;11;;;
191220;0000;10;;;
191221;0000;10;;;
191222;0000;13;;;
191223;0000;13;;;
191224;0000;14;;;
191225;0000;12;;;
191226;0000;11;;;
191227;0000;12;;;
191228;0000;9;;;
191229;0000;9;;;
191230;0000;10;;;
191231;0000;10;;;
200101;0000;9;;;
200102;0000;10;;;
200103;0000;9;;;
200104;0000;8;;;
200105;0000;9;;;
200106;0000;9;;;
200107;0000;7;;;
200108;0000;10;;;
200109;0000;9;;;
200110;0000;8;;;
200111;0000;9;;;
200112;0000;9;;;
200113;0000;9;;;
200114;0000;9;;;
200115;0000;5;;;
200116;0000;8;;;
200117;0000;7;;;
200118;0000;9;;;
200119;0000;6;;;
200120;0000;8;;;
200121;0000;7;;;
200122;0000;7;;;
200123;0000;;;;
200124;0000;;;;
200125;0000;5;;;
200126;0000;8;;;
200127;0000;7;;;
200128;0000;7;;;
200129;0000;10;;;
200130;0000;10;;;
200131;0000;9;;;
200201;0000;7;;;
200202;0000;7;;;
200203;0000;6;;;
200204;0000;6;;;
200205;0000;7;;;
200206;0000;8;;;
200207;0000;8;;;
200208;0000;7;;;
200209;0000;7;;;
200210;0000;7;;;
200211;0000;9;;;
200212;0000;8;;;
200213;0000;6;;;
200214;0000;8;;;
200215;0000;11;;;
200216;0000;8;;;
200217;0000;7;;;
200218;0000;9;;;
200219;0000;8;;;
200220;0000;10;;;
200221;0000;10;;;
200222;0000;10;;;
200223;0000;9;;;
200224;0000;10;;;
200225;0000;8;;;
200226;0000;9;;;
200227;0000;10;;;
200228;0000;8;;;
200229;0000;8;;;
200301;0000;8;;;
200302;0000;8;;;
200303;0000;8;;;
200304;0000;6;;;
200305;0000;7;;;
200306;0000;;;;
200307;0000;11;;;
200308;0000;11;;;
200309;0000;11;;;
200310;0000;8;;;
200311;0000;8;;;
200312;0000;8;;;
200313;0000;8;;;
200314;0000;8;;;
200315;0000;7;;;
200316;0000;10;;;
200317;0000;9;;;
200318;0000;7;;;
200319;0000;10;;;
200320;0000;8;;;
200321;0000;10;;;
200322;0000;9;;;
200323;0000;;;8;
200324;0000;;;2;
200325;0000;;;3;
200326;0000;;;3;
200327;0000;;;6;
200328;0000;6;;;
200329;0000;7;;;
200330;0000;9;;;
200331;0000;9;;;
200401;0000;7;;;
200402;0000;11;;;
200403;0000;13;;;
200404;0000;14;;;
200405;0000;16;;;
200406;0000;12;;;
200407;0000;11;;;
200408;0000;12;;;
200409;0000;10;;;
200410;0000;7;;;
200411;0000;9;;;
200412;0000;10;;;
200413;0000;11;;;
200414;0000;11;;;
200415;0000;10;;;
200416;0000;9;;;
200417;0000;10;;;
200418;0000;12;;;
200419;0000;13;;;
200420;0000;16;;;
200421;0000;15;;;
200422;0000;15;;;
200423;0000;10;;;
200424;0000;9;;;
200425;0000;10;;;
200426;0000;8;;;
200427;0000;7;;;
200428;0000;7;;;
200429;0000;10;;;
200430;0000;12;;;
200501;0000;8;;;
200502;0000;11;;;
200503;0000;9;;;
200504;0000;13;;;
200505;0000;14;;;
200506;0000;14;;;
200507;0000;19;;;
200508;0000;20;;;
200509;0000;18;;;
200510;0000;13;;;
200511;0000;14;;;
200512;0000;18;;;
200513;0000;11;;;
200514;0000;10;;;
200515;0000;14;;;
200516;0000;16;;;
200517;0000;12;;;
200518;0000;13;;;
200519;0000;13;;;
200520;0000;10;;;
200521;0000;9;;;
200522;0000;9;;;
200523;0000;12;;;
200524;0000;18;;;
200525;0000;16;;;
200526;0000;13;;;
200527;0000;12;;;
200528;0000;10;;;
200529;0000;9;;;
200530;0000;12;;;
200531;0000;8;;;
200601;0000;8;;;
200602;0000;8;;;
200603;0000;6;;;
200604;0000;7;;;
200605;0000;14;;;
200606;0000;13;;;
200607;0000;11;;;
200608;0000;14;;;
200609;0000;19;;;
200610;0000;19;;;
200611;0000;14;;;
200612;0000;11;;;
200613;0000;13;;;
200614;0000;16;;;
200615;0000;13;;;
200616;0000;11;;;
200617;0000;;;;
200618;0000;11;;;
200619;0000;13;;;
200620;0000;14;;;
200621;0000;13;;;
200622;0000;10;;;
200623;0000;13;;;
200624;0000;13;;;
200625;0000;11;;;
200626;0000;13;;;
200627;0000;11;;;
200628;0000;14;;;
200629;0000;13;;;
200630;0000;9;;;
200701;0000;11;;;
200702;0000;17;;;
200703;0000;20;;;
200704;0000;16;;;
200705;0000;10;;;
200706;0000;15;;;
200707;0000;8;;;
200708;0000;11;;;
200709;0000;12;;;
200710;0000;15;;;
200711;0000;15;;;
200712;0000;15;;;
200713;0000;20;;;
200714;0000;20;;;
200715;0000;19;;;
200716;0000;9;;;
200717;0000;14;;;
200718;0000;10;;;
200719;0000;8;;;
200720;0000;8;;;
200721;0000;7;;;
200722;0000;6;;;
200723;0000;6;;;
200724;0000;8;;;
200725;0000;16;;;
200726;0000;15;;;
200727;0000;16;;;
200728;0000;18;;;
200729;0000;23;;;
200730;0000;20;;;
200731;0000;17;;;
200801;0000;20;;;
200802;0000;14;;;
200803;0000;12;;;
200804;0000;15;;;
200805;0000;11;;;
200806;0000;9;;;
200807;0000;14;;;
200808;0000;13;;;
200809;0000;14;;;
200810;0000;11;;;
200811;0000;13;;;
200812;0000;11;;;
200813;0000;10;;;
200814;0000;10;;;
200815;0000;8;;;
200816;0000;9;;;
200817;0000;9;;;
200818;0000;9;;;
200819;0000;10;;;
200820;0000;10;;;
200821;0000;12;;;
200822;0000;17;;;
200823;0000;13;;;
200824;0000;7;;;
200825;0000;7;;;
200826;0000;9;;;
200827;0000;9;;;
200828;0000;8;;;
200829;0000;8;;;
200830;0000;8;;;
200831;0000;11;;;
200901;0000;8;;;
200902;0000;9;;;
200903;0000;10;;;
200904;0000;12;;;
200905;0000;12;;;
200906;0000;10;;;
200907;0000;9;;;
200908;0000;8;;;
200909;0000;8;;;
200910;0000;10;;;
200911;0000;7;;;
200912;0000;11;;;
200913;0000;8;;;
200914;0000;9;;;
200915;0000;10;;;
200916;0000;9;;;
200917;0000;10;;;
200918;0000;14;;;
200919;0000;14;;;
200920;0000;14;;;
200921;0000;9;;;
200922;0000;9;;;
200923;0000;10;;;
200924;0000;11;;;
200925;0000;10;;;
200926;0000;8;;;
200927;0000;6;;;
200928;0000;8;;;
200929;0000;10;;;
200930;0000;8;;;
201001;0000;8;;;
201002;0000;4;;;
201003;0000;6;;;
201004;0000;9;;;
201005;0000;9;;;
201006;0000;8;;;
201007;0000;9;;;
201008;0000;10;;;
201009;0000;11;;;
201010;0000;12;;;
201011;0000;9;;;
201012;0000;9;;;
201013;0000;10;;;
201014;0000;9;;;
201015;0000;7;;;
201016;0000;8;;;
201017;0000;6;;;
201018;0000;3;;;
201019;0000;5;;;
201020;0000;7;;;
201021;0000;8;;;
201022;0000;7;;;
201023;0000;3;;;
201024;0000;4;;;
201025;0000;3;;;
201026;0000;8;;;
201027;0000;5;;;
201028;0000;7;;;
201029;0000;7;;;
201030;0000;7;;;
201031;0000;8;;;
201101;0000;8;;;
201102;0000;8;;;
201103;0000;7;;;
201104;0000;5;;;
201105;0000;5;;;
201106;0000;6;;;
201107;0000;6;;;
201108;0000;5;;;
201109;0000;5;;;
201110;0000;3;;;
201111;0000;6;;;
201112;0000;5;;;
201113;0000;4;;;
201114;0000;4;;;
201115;0000;4;;;
201116;0000;6;;;
201117;0000;6;;;
201118;0000;5;;;
201119;0000;2;;;
201120;0000;4;;;
201121;0000;5;;;
201122;0000;5;;;
201123;0000;5;;;
201124;0000;5;;;
201125;0000;5;;;
201126;0000;6;;;
201127;0000;7;;;
201128;0000;9;;;
201129;0000;6;;;
201130;0000;5;;;
201201;0000;9;;;
201202;0000;7;;;
201203;0000;6;;;
201204;0000;7;;;
201205;0000;9;;;
201206;0000;7;;;
201207;0000;6;;;
201208;0000;5;;;
201209;0000;5;;;
201210;0000;;;3;
201211;0000;;;5;
201212;0000;7;;;
201213;0000;8;;;
201214;0000;8;;;
201215;0000;7;;;
201216;0000;6;;;
201217;0000;4;;;
201218;0000;5;;;
201219;0000;4;;;
201220;0000;4;;;
201221;0000;7;;;
201222;0000;5;;;
201223;0000;7;;;
201224;0000;6;;;
201225;0000;6;;;
201226;0000;5;;;
201227;0000;5;;;
201228;0000;4;;;
201229;0000;4;;;
201230;0000;5;;;
201231;0000;8;;;
210101;0000;9;;;
210102;0000;7;;;
210103;0000;5;;;
210104;0000;6;;;
210105;0000;7;;;
210106;0000;5;;;
210107;0000;6;;;
210108;0000;6;;;
210109;0000;7;;;
210110;0000;7;;;
210111;0000;7;;;
210112;0000;7;;;
210113;0000;8;;;
210114;0000;7;;;
210115;0000;8;;;
210116;0000;8;;;
210117;0000;6;;;
210118;0000;6;;;
210119;0000;6;;;
210120;0000;8;;;
210121;0000;4;;;
210122;0000;3;;;
210123;0000;3;;;
210124;0000;5;;;
210125;0000;3;;;
210126;0000;3;;;
210127;0000;5;;;
210128;0000;6;;;
210129;0000;7;;;
210130;0000;8;;;
210131;0000;4;;;
210201;0000;3;;;
210202;0000;4;;;
210203;0000;6;;;
210204;0000;7;;;
210205;0000;7;;;
210206;0000;6;;;
210207;0000;6;;;
210208;0000;7;;;
210209;0000;6;;;
210210;0000;5;;;
210211;0000;6;;;
210212;0000;6;;;
210213;0000;9;;;
210214;0000;7;;;
210215;0000;7;;;
210216;0000;8;;;
210217;0000;7;;;
210218;0000;5;;;
210219;0000;7;;;
210220;0000;7;;;
210221;0000;7;;;
210222;0000;6;;;
210223;0000;7;;;
210224;0000;7;;;
210225;0000;11;;;
210226;0000;10;;;
210227;0000;9;;;
210228;0000;7;;;
210301;0000;8;;;
210302;0000;10;;;
210303;0000;11;;;
210304;0000;7;;;
210305;0000;8;;;
210306;0000;6;;;
210307;0000;5;;;
210308;0000;5;;;
210309;0000;6;;;
210310;0000;7;;;
210311;0000;7;;;
210312;0000;6;;;
210313;0000;6;;;
210314;0000;6;;;
210315;0000;6;;;
210316;0000;6;;;
210317;0000;5;;;
210318;0000;5;;;
210319;0000;5;;;
210320;0000;6;;;
210321;0000;5;;;
210322;0000;5;;;
210323;0000;;;;
210324;0000;8;;;
210325;0000;12;;;
210326;0000;;;9;
210327;0000;;;3;
210328;0000;;;3;
210329;0000;;;6;
210330;0000;11;;;
210331;0000;10;;;
210401;0000;9;;;
210402;0000;10;;;
210403;0000;12;;;
210404;0000;8;;;
210405;0000;9;;;
210406;0000;8;;;
210407;0000;6;;;
210408;0000;5;;;
210409;0000;5;;;
210410;0000;7;;;
210411;0000;9;;;
210412;0000;9;;;
210413;0000;11;;;
210414;0000;12;;;
210415;0000;11;;;
210416;0000;14;;;
210417;0000;14;;;
210418;0000;10;;;
210419;0000;12;;;
210420;0000;9;;;
210421;0000;7;;;
210422;0000;9;;;
210423;0000;8;;;
210424;0000;8;;;
210425;0000;9;;;
210426;0000;12;;;
210427;0000;14;;;
210428;0000;15;;;
210429;0000;10;;;
210430;0000;10;;;
210501;0000;11;;;
210502;0000;11;;;
210503;0000;11;;;
210504;0000;9;;;
210505;0000;10;;;
210506;0000;10;;;
210507;0000;12;;;
210508;0000;7;;;
210509;0000;10;;;
210510;0000;12;;;
210511;0000;14;;;
210512;0000;21;;;
210513;0000;13;;;
210514;0000;16;;;
210515;0000;15;;;
210516;0000;14;;;
210517;0000;24;;;
210518;0000;18;;;
210519;0000;17;;;
210520;0000;11;;;
210521;0000;10;;;
210522;0000;14;;;
210523;0000;18;;;
210524;0000;20;;;
210525;0000;16;;;
210526;0000;18;;;
210527;0000;22;;;
210528;0000;21;;;
210529;0000;15;;;
210530;0000;15;;;
210531;0000;17;;;
210601;0000;24;;;
210602;0000;23;;;
210603;0000;25;;;
210604;0000;16;;;
210605;0000;15;;;
210606;0000;12;;;
210607;0000;9;;;
210608;0000;10;;;
210609;0000;12;;;
210610;0000;10;;;
210611;0000;13;;;
210612;0000;19;;;
210613;0000;17;;;
210614;0000;14;;;
210615;0000;19;;;
210616;0000;15;;;
210617;0000;11;;;
210618;0000;7;;;
210619;0000;9;;;
210620;0000;8;;;
